Teacher,School Level,Year Level,Section,Subject,Day,Start Time,End Time
"JHS Teacher 11","JHS","Grade 9","Mabini","English","Monday","07:30","08:20"
"JHS Teacher 11","JHS","Grade 9","Mabini","English","Tuesday","07:30","08:20"
"JHS Teacher 11","JHS","Grade 9","Mabini","English","Wednesday","07:30","08:20"
"JHS Teacher 11","JHS","Grade 9","Mabini","English","Thursday","07:30","08:20"
"JHS Teacher 11","JHS","Grade 9","Mabini","English","Friday","07:30","08:20"
"JHS Teacher 12","JHS","Grade 9","Luna","English","Monday","07:30","08:20"
"JHS Teacher 12","JHS","Grade 9","Luna","English","Tuesday","07:30","08:20"
"JHS Teacher 12","JHS","Grade 9","Luna","English","Wednesday","07:30","08:20"
"JHS Teacher 12","JHS","Grade 9","Luna","English","Thursday","07:30","08:20"
"JHS Teacher 12","JHS","Grade 9","Luna","English","Friday","07:30","08:20"
"JHS Teacher 13","JHS","Grade 10","Rizal","English","Monday","07:30","08:20"
"JHS Teacher 13","JHS","Grade 10","Rizal","English","Tuesday","07:30","08:20"
"JHS Teacher 13","JHS","Grade 10","Rizal","English","Wednesday","07:30","08:20"
"JHS Teacher 13","JHS","Grade 10","Rizal","English","Thursday","07:30","08:20"
"JHS Teacher 13","JHS","Grade 10","Rizal","English","Friday","07:30","08:20"
"JHS Teacher 14","JHS","Grade 10","Bonifacio","English","Monday","07:30","08:20"
"JHS Teacher 14","JHS","Grade 10","Bonifacio","English","Tuesday","07:30","08:20"
"JHS Teacher 14","JHS","Grade 10","Bonifacio","English","Wednesday","07:30","08:20"
"JHS Teacher 14","JHS","Grade 10","Bonifacio","English","Thursday","07:30","08:20"
"JHS Teacher 14","JHS","Grade 10","Bonifacio","English","Friday","07:30","08:20"
"JHS Teacher 15","JHS","Grade 10","Mabini","English","Monday","07:30","08:20"
"JHS Teacher 15","JHS","Grade 10","Mabini","English","Tuesday","07:30","08:20"
"JHS Teacher 15","JHS","Grade 10","Mabini","English","Wednesday","07:30","08:20"
"JHS Teacher 15","JHS","Grade 10","Mabini","English","Thursday","07:30","08:20"
"JHS Teacher 15","JHS","Grade 10","Mabini","English","Friday","07:30","08:20"
"JHS Teacher 16","JHS","Grade 10","Luna","English","Monday","07:30","08:20"
"JHS Teacher 16","JHS","Grade 10","Luna","English","Tuesday","07:30","08:20"
"JHS Teacher 16","JHS","Grade 10","Luna","English","Wednesday","07:30","08:20"
"JHS Teacher 16","JHS","Grade 10","Luna","English","Thursday","07:30","08:20"
"JHS Teacher 16","JHS","Grade 10","Luna","English","Friday","07:30","08:20"
"JHS Teacher 17","JHS","Grade 7","Rizal","Filipino","Monday","08:20","09:05"
"JHS Teacher 17","JHS","Grade 7","Rizal","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 17","JHS","Grade 7","Rizal","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 17","JHS","Grade 7","Rizal","Filipino","Thursday","08:20","09:05"
"JHS Teacher 17","JHS","Grade 7","Rizal","Filipino","Friday","08:20","09:05"
"JHS Teacher 18","JHS","Grade 7","Bonifacio","Filipino","Monday","08:20","09:05"
"JHS Teacher 18","JHS","Grade 7","Bonifacio","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 18","JHS","Grade 7","Bonifacio","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 18","JHS","Grade 7","Bonifacio","Filipino","Thursday","08:20","09:05"
"JHS Teacher 18","JHS","Grade 7","Bonifacio","Filipino","Friday","08:20","09:05"
"JHS Teacher 19","JHS","Grade 7","Mabini","Filipino","Monday","08:20","09:05"
"JHS Teacher 19","JHS","Grade 7","Mabini","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 19","JHS","Grade 7","Mabini","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 19","JHS","Grade 7","Mabini","Filipino","Thursday","08:20","09:05"
"JHS Teacher 19","JHS","Grade 7","Mabini","Filipino","Friday","08:20","09:05"
"JHS Teacher 20","JHS","Grade 7","Luna","Filipino","Monday","08:20","09:05"
"JHS Teacher 20","JHS","Grade 7","Luna","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 20","JHS","Grade 7","Luna","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 20","JHS","Grade 7","Luna","Filipino","Thursday","08:20","09:05"
"JHS Teacher 20","JHS","Grade 7","Luna","Filipino","Friday","08:20","09:05"
"JHS Teacher 21","JHS","Grade 8","Rizal","Filipino","Monday","08:20","09:05"
"JHS Teacher 21","JHS","Grade 8","Rizal","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 21","JHS","Grade 8","Rizal","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 21","JHS","Grade 8","Rizal","Filipino","Thursday","08:20","09:05"
"JHS Teacher 21","JHS","Grade 8","Rizal","Filipino","Friday","08:20","09:05"
"JHS Teacher 22","JHS","Grade 8","Bonifacio","Filipino","Monday","08:20","09:05"
"JHS Teacher 22","JHS","Grade 8","Bonifacio","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 22","JHS","Grade 8","Bonifacio","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 22","JHS","Grade 8","Bonifacio","Filipino","Thursday","08:20","09:05"
"JHS Teacher 22","JHS","Grade 8","Bonifacio","Filipino","Friday","08:20","09:05"
"JHS Teacher 23","JHS","Grade 8","Mabini","Filipino","Monday","08:20","09:05"
"JHS Teacher 23","JHS","Grade 8","Mabini","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 23","JHS","Grade 8","Mabini","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 23","JHS","Grade 8","Mabini","Filipino","Thursday","08:20","09:05"
"JHS Teacher 23","JHS","Grade 8","Mabini","Filipino","Friday","08:20","09:05"
"JHS Teacher 24","JHS","Grade 8","Luna","Filipino","Monday","08:20","09:05"
"JHS Teacher 24","JHS","Grade 8","Luna","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 24","JHS","Grade 8","Luna","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 24","JHS","Grade 8","Luna","Filipino","Thursday","08:20","09:05"
"JHS Teacher 24","JHS","Grade 8","Luna","Filipino","Friday","08:20","09:05"
"JHS Teacher 25","JHS","Grade 9","Rizal","Filipino","Monday","08:20","09:05"
"JHS Teacher 25","JHS","Grade 9","Rizal","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 25","JHS","Grade 9","Rizal","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 25","JHS","Grade 9","Rizal","Filipino","Thursday","08:20","09:05"
"JHS Teacher 25","JHS","Grade 9","Rizal","Filipino","Friday","08:20","09:05"
"JHS Teacher 26","JHS","Grade 9","Bonifacio","Filipino","Monday","08:20","09:05"
"JHS Teacher 26","JHS","Grade 9","Bonifacio","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 26","JHS","Grade 9","Bonifacio","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 26","JHS","Grade 9","Bonifacio","Filipino","Thursday","08:20","09:05"
"JHS Teacher 26","JHS","Grade 9","Bonifacio","Filipino","Friday","08:20","09:05"
"JHS Teacher 27","JHS","Grade 9","Mabini","Filipino","Monday","08:20","09:05"
"JHS Teacher 27","JHS","Grade 9","Mabini","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 27","JHS","Grade 9","Mabini","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 27","JHS","Grade 9","Mabini","Filipino","Thursday","08:20","09:05"
"JHS Teacher 27","JHS","Grade 9","Mabini","Filipino","Friday","08:20","09:05"
"JHS Teacher 28","JHS","Grade 9","Luna","Filipino","Monday","08:20","09:05"
"JHS Teacher 28","JHS","Grade 9","Luna","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 28","JHS","Grade 9","Luna","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 28","JHS","Grade 9","Luna","Filipino","Thursday","08:20","09:05"
"JHS Teacher 28","JHS","Grade 9","Luna","Filipino","Friday","08:20","09:05"
"JHS Teacher 29","JHS","Grade 10","Rizal","Filipino","Monday","08:20","09:05"
"JHS Teacher 29","JHS","Grade 10","Rizal","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 29","JHS","Grade 10","Rizal","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 29","JHS","Grade 10","Rizal","Filipino","Thursday","08:20","09:05"
"JHS Teacher 29","JHS","Grade 10","Rizal","Filipino","Friday","08:20","09:05"
"JHS Teacher 30","JHS","Grade 10","Bonifacio","Filipino","Monday","08:20","09:05"
"JHS Teacher 30","JHS","Grade 10","Bonifacio","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 30","JHS","Grade 10","Bonifacio","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 30","JHS","Grade 10","Bonifacio","Filipino","Thursday","08:20","09:05"
"JHS Teacher 30","JHS","Grade 10","Bonifacio","Filipino","Friday","08:20","09:05"
"JHS Teacher 31","JHS","Grade 10","Mabini","Filipino","Monday","08:20","09:05"
"JHS Teacher 31","JHS","Grade 10","Mabini","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 31","JHS","Grade 10","Mabini","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 31","JHS","Grade 10","Mabini","Filipino","Thursday","08:20","09:05"
"JHS Teacher 31","JHS","Grade 10","Mabini","Filipino","Friday","08:20","09:05"
"JHS Teacher 32","JHS","Grade 10","Luna","Filipino","Monday","08:20","09:05"
"JHS Teacher 32","JHS","Grade 10","Luna","Filipino","Tuesday","08:20","09:05"
"JHS Teacher 32","JHS","Grade 10","Luna","Filipino","Wednesday","08:20","09:05"
"JHS Teacher 32","JHS","Grade 10","Luna","Filipino","Thursday","08:20","09:05"
"JHS Teacher 32","JHS","Grade 10","Luna","Filipino","Friday","08:20","09:05"
"JHS Teacher 33","JHS","Grade 7","Rizal","Mathematics","Monday","09:05","10:05"
"JHS Teacher 33","JHS","Grade 7","Rizal","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 33","JHS","Grade 7","Rizal","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 33","JHS","Grade 7","Rizal","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 33","JHS","Grade 7","Rizal","Mathematics","Friday","09:05","10:05"
"JHS Teacher 34","JHS","Grade 7","Bonifacio","Mathematics","Monday","09:05","10:05"
"JHS Teacher 34","JHS","Grade 7","Bonifacio","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 34","JHS","Grade 7","Bonifacio","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 34","JHS","Grade 7","Bonifacio","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 34","JHS","Grade 7","Bonifacio","Mathematics","Friday","09:05","10:05"
"JHS Teacher 35","JHS","Grade 7","Mabini","Mathematics","Monday","09:05","10:05"
"JHS Teacher 35","JHS","Grade 7","Mabini","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 35","JHS","Grade 7","Mabini","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 35","JHS","Grade 7","Mabini","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 35","JHS","Grade 7","Mabini","Mathematics","Friday","09:05","10:05"
"JHS Teacher 01","JHS","Grade 7","Luna","Mathematics","Monday","09:05","10:05"
"JHS Teacher 01","JHS","Grade 7","Luna","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 01","JHS","Grade 7","Luna","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 01","JHS","Grade 7","Luna","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 01","JHS","Grade 7","Luna","Mathematics","Friday","09:05","10:05"
"JHS Teacher 02","JHS","Grade 8","Rizal","Mathematics","Monday","09:05","10:05"
"JHS Teacher 02","JHS","Grade 8","Rizal","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 02","JHS","Grade 8","Rizal","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 02","JHS","Grade 8","Rizal","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 02","JHS","Grade 8","Rizal","Mathematics","Friday","09:05","10:05"
"JHS Teacher 03","JHS","Grade 8","Bonifacio","Mathematics","Monday","09:05","10:05"
"JHS Teacher 03","JHS","Grade 8","Bonifacio","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 03","JHS","Grade 8","Bonifacio","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 03","JHS","Grade 8","Bonifacio","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 03","JHS","Grade 8","Bonifacio","Mathematics","Friday","09:05","10:05"
"JHS Teacher 04","JHS","Grade 8","Mabini","Mathematics","Monday","09:05","10:05"
"JHS Teacher 04","JHS","Grade 8","Mabini","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 04","JHS","Grade 8","Mabini","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 04","JHS","Grade 8","Mabini","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 04","JHS","Grade 8","Mabini","Mathematics","Friday","09:05","10:05"
"JHS Teacher 05","JHS","Grade 8","Luna","Mathematics","Monday","09:05","10:05"
"JHS Teacher 05","JHS","Grade 8","Luna","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 05","JHS","Grade 8","Luna","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 05","JHS","Grade 8","Luna","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 05","JHS","Grade 8","Luna","Mathematics","Friday","09:05","10:05"
"JHS Teacher 06","JHS","Grade 9","Rizal","Mathematics","Monday","09:05","10:05"
"JHS Teacher 06","JHS","Grade 9","Rizal","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 06","JHS","Grade 9","Rizal","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 06","JHS","Grade 9","Rizal","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 06","JHS","Grade 9","Rizal","Mathematics","Friday","09:05","10:05"
"JHS Teacher 07","JHS","Grade 9","Bonifacio","Mathematics","Monday","09:05","10:05"
"JHS Teacher 07","JHS","Grade 9","Bonifacio","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 07","JHS","Grade 9","Bonifacio","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 07","JHS","Grade 9","Bonifacio","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 07","JHS","Grade 9","Bonifacio","Mathematics","Friday","09:05","10:05"
"JHS Teacher 08","JHS","Grade 9","Mabini","Mathematics","Monday","09:05","10:05"
"JHS Teacher 08","JHS","Grade 9","Mabini","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 08","JHS","Grade 9","Mabini","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 08","JHS","Grade 9","Mabini","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 08","JHS","Grade 9","Mabini","Mathematics","Friday","09:05","10:05"
"JHS Teacher 09","JHS","Grade 9","Luna","Mathematics","Monday","09:05","10:05"
"JHS Teacher 09","JHS","Grade 9","Luna","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 09","JHS","Grade 9","Luna","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 09","JHS","Grade 9","Luna","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 09","JHS","Grade 9","Luna","Mathematics","Friday","09:05","10:05"
"JHS Teacher 10","JHS","Grade 10","Rizal","Mathematics","Monday","09:05","10:05"
"JHS Teacher 10","JHS","Grade 10","Rizal","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 10","JHS","Grade 10","Rizal","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 10","JHS","Grade 10","Rizal","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 10","JHS","Grade 10","Rizal","Mathematics","Friday","09:05","10:05"
"JHS Teacher 11","JHS","Grade 10","Bonifacio","Mathematics","Monday","09:05","10:05"
"JHS Teacher 11","JHS","Grade 10","Bonifacio","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 11","JHS","Grade 10","Bonifacio","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 11","JHS","Grade 10","Bonifacio","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 11","JHS","Grade 10","Bonifacio","Mathematics","Friday","09:05","10:05"
"JHS Teacher 12","JHS","Grade 10","Mabini","Mathematics","Monday","09:05","10:05"
"JHS Teacher 12","JHS","Grade 10","Mabini","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 12","JHS","Grade 10","Mabini","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 12","JHS","Grade 10","Mabini","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 12","JHS","Grade 10","Mabini","Mathematics","Friday","09:05","10:05"
"JHS Teacher 13","JHS","Grade 10","Luna","Mathematics","Monday","09:05","10:05"
"JHS Teacher 13","JHS","Grade 10","Luna","Mathematics","Tuesday","09:05","10:05"
"JHS Teacher 13","JHS","Grade 10","Luna","Mathematics","Wednesday","09:05","10:05"
"JHS Teacher 13","JHS","Grade 10","Luna","Mathematics","Thursday","09:05","10:05"
"JHS Teacher 13","JHS","Grade 10","Luna","Mathematics","Friday","09:05","10:05"
"JHS Teacher 14","JHS","Grade 7","Rizal","Science","Monday","10:05","10:50"
"JHS Teacher 14","JHS","Grade 7","Rizal","Science","Tuesday","10:05","10:50"
"JHS Teacher 14","JHS","Grade 7","Rizal","Science","Wednesday","10:05","10:50"
"JHS Teacher 14","JHS","Grade 7","Rizal","Science","Thursday","10:05","10:50"
"JHS Teacher 14","JHS","Grade 7","Rizal","Science","Friday","10:05","10:50"
"JHS Teacher 15","JHS","Grade 7","Bonifacio","Science","Monday","10:05","10:50"
"JHS Teacher 15","JHS","Grade 7","Bonifacio","Science","Tuesday","10:05","10:50"
"JHS Teacher 15","JHS","Grade 7","Bonifacio","Science","Wednesday","10:05","10:50"
"JHS Teacher 15","JHS","Grade 7","Bonifacio","Science","Thursday","10:05","10:50"
"JHS Teacher 15","JHS","Grade 7","Bonifacio","Science","Friday","10:05","10:50"
"JHS Teacher 16","JHS","Grade 7","Mabini","Science","Monday","10:05","10:50"
"JHS Teacher 16","JHS","Grade 7","Mabini","Science","Tuesday","10:05","10:50"
"JHS Teacher 16","JHS","Grade 7","Mabini","Science","Wednesday","10:05","10:50"
"JHS Teacher 16","JHS","Grade 7","Mabini","Science","Thursday","10:05","10:50"
"JHS Teacher 16","JHS","Grade 7","Mabini","Science","Friday","10:05","10:50"
"JHS Teacher 17","JHS","Grade 7","Luna","Science","Monday","10:05","10:50"
"JHS Teacher 17","JHS","Grade 7","Luna","Science","Tuesday","10:05","10:50"
"JHS Teacher 17","JHS","Grade 7","Luna","Science","Wednesday","10:05","10:50"
"JHS Teacher 17","JHS","Grade 7","Luna","Science","Thursday","10:05","10:50"
"JHS Teacher 17","JHS","Grade 7","Luna","Science","Friday","10:05","10:50"
"JHS Teacher 18","JHS","Grade 8","Rizal","Science","Monday","10:05","10:50"
"JHS Teacher 18","JHS","Grade 8","Rizal","Science","Tuesday","10:05","10:50"
"JHS Teacher 18","JHS","Grade 8","Rizal","Science","Wednesday","10:05","10:50"
"JHS Teacher 18","JHS","Grade 8","Rizal","Science","Thursday","10:05","10:50"
"JHS Teacher 18","JHS","Grade 8","Rizal","Science","Friday","10:05","10:50"
"JHS Teacher 19","JHS","Grade 8","Bonifacio","Science","Monday","10:05","10:50"
"JHS Teacher 19","JHS","Grade 8","Bonifacio","Science","Tuesday","10:05","10:50"
"JHS Teacher 19","JHS","Grade 8","Bonifacio","Science","Wednesday","10:05","10:50"
"JHS Teacher 19","JHS","Grade 8","Bonifacio","Science","Thursday","10:05","10:50"
"JHS Teacher 19","JHS","Grade 8","Bonifacio","Science","Friday","10:05","10:50"
"JHS Teacher 20","JHS","Grade 8","Mabini","Science","Monday","10:05","10:50"
"JHS Teacher 20","JHS","Grade 8","Mabini","Science","Tuesday","10:05","10:50"
"JHS Teacher 20","JHS","Grade 8","Mabini","Science","Wednesday","10:05","10:50"
"JHS Teacher 20","JHS","Grade 8","Mabini","Science","Thursday","10:05","10:50"
"JHS Teacher 20","JHS","Grade 8","Mabini","Science","Friday","10:05","10:50"
"JHS Teacher 21","JHS","Grade 8","Luna","Science","Monday","10:05","10:50"
"JHS Teacher 21","JHS","Grade 8","Luna","Science","Tuesday","10:05","10:50"
"JHS Teacher 21","JHS","Grade 8","Luna","Science","Wednesday","10:05","10:50"
"JHS Teacher 21","JHS","Grade 8","Luna","Science","Thursday","10:05","10:50"
"JHS Teacher 21","JHS","Grade 8","Luna","Science","Friday","10:05","10:50"
"JHS Teacher 22","JHS","Grade 9","Rizal","Science","Monday","10:05","10:50"
"JHS Teacher 22","JHS","Grade 9","Rizal","Science","Tuesday","10:05","10:50"
"JHS Teacher 22","JHS","Grade 9","Rizal","Science","Wednesday","10:05","10:50"
"JHS Teacher 22","JHS","Grade 9","Rizal","Science","Thursday","10:05","10:50"
"JHS Teacher 22","JHS","Grade 9","Rizal","Science","Friday","10:05","10:50"
"JHS Teacher 23","JHS","Grade 9","Bonifacio","Science","Monday","10:05","10:50"
"JHS Teacher 23","JHS","Grade 9","Bonifacio","Science","Tuesday","10:05","10:50"
"JHS Teacher 23","JHS","Grade 9","Bonifacio","Science","Wednesday","10:05","10:50"
"JHS Teacher 23","JHS","Grade 9","Bonifacio","Science","Thursday","10:05","10:50"
"JHS Teacher 23","JHS","Grade 9","Bonifacio","Science","Friday","10:05","10:50"
"JHS Teacher 24","JHS","Grade 9","Mabini","Science","Monday","10:05","10:50"
"JHS Teacher 24","JHS","Grade 9","Mabini","Science","Tuesday","10:05","10:50"
"JHS Teacher 24","JHS","Grade 9","Mabini","Science","Wednesday","10:05","10:50"
"JHS Teacher 24","JHS","Grade 9","Mabini","Science","Thursday","10:05","10:50"
"JHS Teacher 24","JHS","Grade 9","Mabini","Science","Friday","10:05","10:50"
"JHS Teacher 25","JHS","Grade 9","Luna","Science","Monday","10:05","10:50"
"JHS Teacher 25","JHS","Grade 9","Luna","Science","Tuesday","10:05","10:50"
"JHS Teacher 25","JHS","Grade 9","Luna","Science","Wednesday","10:05","10:50"
"JHS Teacher 25","JHS","Grade 9","Luna","Science","Thursday","10:05","10:50"
"JHS Teacher 25","JHS","Grade 9","Luna","Science","Friday","10:05","10:50"
"JHS Teacher 26","JHS","Grade 10","Rizal","Science","Monday","10:05","10:50"
"JHS Teacher 26","JHS","Grade 10","Rizal","Science","Tuesday","10:05","10:50"
"JHS Teacher 26","JHS","Grade 10","Rizal","Science","Wednesday","10:05","10:50"
"JHS Teacher 26","JHS","Grade 10","Rizal","Science","Thursday","10:05","10:50"
"JHS Teacher 26","JHS","Grade 10","Rizal","Science","Friday","10:05","10:50"
"JHS Teacher 27","JHS","Grade 10","Bonifacio","Science","Monday","10:05","10:50"
"JHS Teacher 27","JHS","Grade 10","Bonifacio","Science","Tuesday","10:05","10:50"
"JHS Teacher 27","JHS","Grade 10","Bonifacio","Science","Wednesday","10:05","10:50"
"JHS Teacher 27","JHS","Grade 10","Bonifacio","Science","Thursday","10:05","10:50"
"JHS Teacher 27","JHS","Grade 10","Bonifacio","Science","Friday","10:05","10:50"
"JHS Teacher 28","JHS","Grade 10","Mabini","Science","Monday","10:05","10:50"
"JHS Teacher 28","JHS","Grade 10","Mabini","Science","Tuesday","10:05","10:50"
"JHS Teacher 28","JHS","Grade 10","Mabini","Science","Wednesday","10:05","10:50"
"JHS Teacher 28","JHS","Grade 10","Mabini","Science","Thursday","10:05","10:50"
